training start: 2022-03-21 15:05:11.060759
[ Train | 001/100 ] loss = 2.88368, acc = 0.17896 || [ Valid | 001/100 ] loss = 2.15554, acc = 0.24930 -> best
[ Train | 002/100 ] loss = 2.10379, acc = 0.25103 || [ Valid | 002/100 ] loss = 2.02306, acc = 0.28842 -> best
[ Train | 003/100 ] loss = 1.98369, acc = 0.29788 || [ Valid | 003/100 ] loss = 1.87025, acc = 0.36432 -> best
[ Train | 004/100 ] loss = 1.86917, acc = 0.34464 || [ Valid | 004/100 ] loss = 1.78095, acc = 0.37765 -> best
[ Train | 005/100 ] loss = 1.77291, acc = 0.37834 || [ Valid | 005/100 ] loss = 1.68070, acc = 0.41813 -> best
[ Train | 006/100 ] loss = 1.68424, acc = 0.41278 || [ Valid | 006/100 ] loss = 1.58932, acc = 0.45681 -> best
[ Train | 007/100 ] loss = 1.61444, acc = 0.43811 || [ Valid | 007/100 ] loss = 1.51904, acc = 0.47962 -> best
[ Train | 008/100 ] loss = 1.55151, acc = 0.46179 || [ Valid | 008/100 ] loss = 1.44454, acc = 0.50115 -> best
[ Train | 009/100 ] loss = 1.47610, acc = 0.49023 || [ Valid | 009/100 ] loss = 1.37211, acc = 0.53494 -> best
[ Train | 010/100 ] loss = 1.41319, acc = 0.51326 || [ Valid | 010/100 ] loss = 1.33311, acc = 0.54188 -> best
[ Train | 011/100 ] loss = 1.36368, acc = 0.53355 || [ Valid | 011/100 ] loss = 1.32471, acc = 0.54220 -> best
[ Train | 012/100 ] loss = 1.31434, acc = 0.55358 || [ Valid | 012/100 ] loss = 1.21034, acc = 0.58175 -> best
[ Train | 013/100 ] loss = 1.24913, acc = 0.57294 || [ Valid | 013/100 ] loss = 1.12361, acc = 0.62216 -> best
[ Train | 014/100 ] loss = 1.18937, acc = 0.59873 || [ Valid | 014/100 ] loss = 1.13327, acc = 0.61795
[ Train | 015/100 ] loss = 1.16956, acc = 0.59999 || [ Valid | 015/100 ] loss = 1.14811, acc = 0.61635
[ Train | 016/100 ] loss = 1.11572, acc = 0.62410 || [ Valid | 016/100 ] loss = 1.05187, acc = 0.65496 -> best
[ Train | 017/100 ] loss = 1.07070, acc = 0.63571 || [ Valid | 017/100 ] loss = 1.04749, acc = 0.65007
[ Train | 018/100 ] loss = 1.05507, acc = 0.64002 || [ Valid | 018/100 ] loss = 1.04907, acc = 0.64790
[ Train | 019/100 ] loss = 1.01394, acc = 0.64927 || [ Valid | 019/100 ] loss = 0.97663, acc = 0.66960 -> best
[ Train | 020/100 ] loss = 0.96422, acc = 0.67398 || [ Valid | 020/100 ] loss = 1.00878, acc = 0.66861
[ Train | 021/100 ] loss = 0.94551, acc = 0.67817 || [ Valid | 021/100 ] loss = 0.94144, acc = 0.68715 -> best
[ Train | 022/100 ] loss = 0.90104, acc = 0.69735 || [ Valid | 022/100 ] loss = 0.96004, acc = 0.68783 -> best
[ Train | 023/100 ] loss = 0.89233, acc = 0.69260 || [ Valid | 023/100 ] loss = 0.95765, acc = 0.67965
[ Train | 024/100 ] loss = 0.87261, acc = 0.70709 || [ Valid | 024/100 ] loss = 0.86559, acc = 0.71808 -> best
[ Train | 025/100 ] loss = 0.85628, acc = 0.71316 || [ Valid | 025/100 ] loss = 0.90355, acc = 0.70376
[ Train | 026/100 ] loss = 0.81908, acc = 0.72121 || [ Valid | 026/100 ] loss = 0.82438, acc = 0.72521 -> best
[ Train | 027/100 ] loss = 0.79925, acc = 0.72591 || [ Valid | 027/100 ] loss = 0.84697, acc = 0.73092 -> best
[ Train | 028/100 ] loss = 0.78726, acc = 0.73938 || [ Valid | 028/100 ] loss = 0.81671, acc = 0.73377 -> best
[ Train | 029/100 ] loss = 0.76284, acc = 0.74445 || [ Valid | 029/100 ] loss = 0.81756, acc = 0.73278
[ Train | 030/100 ] loss = 0.72562, acc = 0.75247 || [ Valid | 030/100 ] loss = 0.82808, acc = 0.73383 -> best
[ Train | 031/100 ] loss = 0.71992, acc = 0.75995 || [ Valid | 031/100 ] loss = 0.87199, acc = 0.71921
[ Train | 032/100 ] loss = 0.69272, acc = 0.76891 || [ Valid | 032/100 ] loss = 0.89150, acc = 0.70990
[ Train | 033/100 ] loss = 0.68382, acc = 0.76744 || [ Valid | 033/100 ] loss = 0.75344, acc = 0.75355 -> best
[ Train | 034/100 ] loss = 0.66928, acc = 0.77128 || [ Valid | 034/100 ] loss = 0.76129, acc = 0.75299
[ Train | 035/100 ] loss = 0.65129, acc = 0.77921 || [ Valid | 035/100 ] loss = 0.73429, acc = 0.76067 -> best
[ Train | 036/100 ] loss = 0.63397, acc = 0.78737 || [ Valid | 036/100 ] loss = 0.75032, acc = 0.75572
[ Train | 037/100 ] loss = 0.61268, acc = 0.79175 || [ Valid | 037/100 ] loss = 0.74819, acc = 0.75770
[ Train | 038/100 ] loss = 0.59496, acc = 0.79092 || [ Valid | 038/100 ] loss = 0.74453, acc = 0.75156
[ Train | 039/100 ] loss = 0.59392, acc = 0.80085 || [ Valid | 039/100 ] loss = 0.74149, acc = 0.76675 -> best
[ Train | 040/100 ] loss = 0.56280, acc = 0.81092 || [ Valid | 040/100 ] loss = 0.73669, acc = 0.76694 -> best
[ Train | 041/100 ] loss = 0.56886, acc = 0.80703 || [ Valid | 041/100 ] loss = 0.75846, acc = 0.76682
[ Train | 042/100 ] loss = 0.54580, acc = 0.81208 || [ Valid | 042/100 ] loss = 0.78172, acc = 0.75318
[ Train | 043/100 ] loss = 0.54031, acc = 0.81973 || [ Valid | 043/100 ] loss = 0.75355, acc = 0.76824 -> best
[ Train | 044/100 ] loss = 0.51462, acc = 0.82711 || [ Valid | 044/100 ] loss = 0.75907, acc = 0.76440
[ Train | 045/100 ] loss = 0.52715, acc = 0.81796 || [ Valid | 045/100 ] loss = 0.71526, acc = 0.78039 -> best
[ Train | 046/100 ] loss = 0.50162, acc = 0.82881 || [ Valid | 046/100 ] loss = 0.75009, acc = 0.76316
[ Train | 047/100 ] loss = 0.49765, acc = 0.82945 || [ Valid | 047/100 ] loss = 0.75012, acc = 0.77426
[ Train | 048/100 ] loss = 0.47488, acc = 0.83611 || [ Valid | 048/100 ] loss = 0.73054, acc = 0.77822
[ Train | 049/100 ] loss = 0.44873, acc = 0.84574 || [ Valid | 049/100 ] loss = 0.67304, acc = 0.78386 -> best
[ Train | 050/100 ] loss = 0.44136, acc = 0.85049 || [ Valid | 050/100 ] loss = 0.78570, acc = 0.76416
[ Train | 051/100 ] loss = 0.45799, acc = 0.84667 || [ Valid | 051/100 ] loss = 0.69573, acc = 0.78621 -> best
[ Train | 052/100 ] loss = 0.43298, acc = 0.85052 || [ Valid | 052/100 ] loss = 0.76076, acc = 0.78213
[ Train | 053/100 ] loss = 0.42643, acc = 0.85203 || [ Valid | 053/100 ] loss = 0.70604, acc = 0.79211 -> best
