training start: 2022-03-20 12:45:40.336895[ Train | 001/200 ] loss = 2.23507, acc = 0.28721 || [ Valid | 001/200 ] loss = 1.77860, acc = 0.38887 -> best
[ Train | 002/200 ] loss = 1.80789, acc = 0.37180 || [ Valid | 002/200 ] loss = 1.73836, acc = 0.39109 -> best
[ Train | 003/200 ] loss = 1.66132, acc = 0.42249 || [ Valid | 003/200 ] loss = 1.60259, acc = 0.44601 -> best
[ Train | 004/200 ] loss = 1.54018, acc = 0.46516 || [ Valid | 004/200 ] loss = 1.48679, acc = 0.49743 -> best
[ Train | 005/200 ] loss = 1.42466, acc = 0.51569 || [ Valid | 005/200 ] loss = 1.41021, acc = 0.51305 -> best
[ Train | 006/200 ] loss = 1.35954, acc = 0.53955 || [ Valid | 006/200 ] loss = 1.62996, acc = 0.46946
[ Train | 007/200 ] loss = 1.29066, acc = 0.56030 || [ Valid | 007/200 ] loss = 1.30512, acc = 0.55242 -> best
[ Train | 008/200 ] loss = 1.20734, acc = 0.58704 || [ Valid | 008/200 ] loss = 1.30365, acc = 0.56147 -> best
[ Train | 009/200 ] loss = 1.16289, acc = 0.59781 || [ Valid | 009/200 ] loss = 1.28641, acc = 0.56266 -> best
[ Train | 010/200 ] loss = 1.09413, acc = 0.62628 || [ Valid | 010/200 ] loss = 1.14360, acc = 0.60289 -> best
[ Train | 011/200 ] loss = 1.07338, acc = 0.63392 || [ Valid | 011/200 ] loss = 1.10272, acc = 0.62391 -> best
[ Train | 012/200 ] loss = 1.01618, acc = 0.65415 || [ Valid | 012/200 ] loss = 1.32605, acc = 0.57530
[ Train | 013/200 ] loss = 0.99373, acc = 0.66423 || [ Valid | 013/200 ] loss = 1.18744, acc = 0.61244
[ Train | 014/200 ] loss = 0.96031, acc = 0.66902 || [ Valid | 014/200 ] loss = 1.07693, acc = 0.63265 -> best
[ Train | 015/200 ] loss = 0.92565, acc = 0.68679 || [ Valid | 015/200 ] loss = 1.05372, acc = 0.64189 -> best
[ Train | 016/200 ] loss = 0.88864, acc = 0.69454 || [ Valid | 016/200 ] loss = 1.00400, acc = 0.65975 -> best
[ Train | 017/200 ] loss = 0.86525, acc = 0.70711 || [ Valid | 017/200 ] loss = 0.95652, acc = 0.67630 -> best
[ Train | 018/200 ] loss = 0.83957, acc = 0.71160 || [ Valid | 018/200 ] loss = 1.00745, acc = 0.68398 -> best
[ Train | 019/200 ] loss = 0.80877, acc = 0.72516 || [ Valid | 019/200 ] loss = 1.07850, acc = 0.65949
[ Train | 020/200 ] loss = 0.80195, acc = 0.72935 || [ Valid | 020/200 ] loss = 1.12374, acc = 0.65027
[ Train | 021/200 ] loss = 0.76928, acc = 0.73562 || [ Valid | 021/200 ] loss = 0.96142, acc = 0.67915
[ Train | 022/200 ] loss = 0.73530, acc = 0.74798 || [ Valid | 022/200 ] loss = 1.10352, acc = 0.66576
[ Train | 023/200 ] loss = 0.72497, acc = 0.75361 || [ Valid | 023/200 ] loss = 0.94047, acc = 0.69930 -> best
[ Train | 024/200 ] loss = 0.71107, acc = 0.75751 || [ Valid | 024/200 ] loss = 0.99141, acc = 0.69365
[ Train | 025/200 ] loss = 0.70954, acc = 0.75537 || [ Valid | 025/200 ] loss = 0.89563, acc = 0.71443 -> best
[ Train | 026/200 ] loss = 0.66916, acc = 0.77202 || [ Valid | 026/200 ] loss = 0.82590, acc = 0.73625 -> best
[ Train | 027/200 ] loss = 0.65710, acc = 0.77594 || [ Valid | 027/200 ] loss = 1.21323, acc = 0.64213
[ Train | 028/200 ] loss = 0.64625, acc = 0.77793 || [ Valid | 028/200 ] loss = 1.02353, acc = 0.68076
[ Train | 029/200 ] loss = 0.62995, acc = 0.78624 || [ Valid | 029/200 ] loss = 0.94812, acc = 0.70804
[ Train | 030/200 ] loss = 0.60870, acc = 0.78746 || [ Valid | 030/200 ] loss = 0.82803, acc = 0.72342
[ Train | 031/200 ] loss = 0.58652, acc = 0.79502 || [ Valid | 031/200 ] loss = 0.77446, acc = 0.75324 -> best
[ Train | 032/200 ] loss = 0.56198, acc = 0.80224 || [ Valid | 032/200 ] loss = 0.95733, acc = 0.69725
[ Train | 033/200 ] loss = 0.56475, acc = 0.80899 || [ Valid | 033/200 ] loss = 0.94112, acc = 0.71245
[ Train | 034/200 ] loss = 0.54459, acc = 0.81235 || [ Valid | 034/200 ] loss = 0.81105, acc = 0.74643
[ Train | 035/200 ] loss = 0.53372, acc = 0.81898 || [ Valid | 035/200 ] loss = 0.96738, acc = 0.72279
[ Train | 036/200 ] loss = 0.52602, acc = 0.81832 || [ Valid | 036/200 ] loss = 0.93269, acc = 0.71363
[ Train | 037/200 ] loss = 0.49979, acc = 0.83115 || [ Valid | 037/200 ] loss = 0.91052, acc = 0.72490
[ Train | 038/200 ] loss = 0.49616, acc = 0.83011 || [ Valid | 038/200 ] loss = 0.85799, acc = 0.73160
[ Train | 039/200 ] loss = 0.47734, acc = 0.83480 || [ Valid | 039/200 ] loss = 0.85262, acc = 0.74493
[ Train | 040/200 ] loss = 0.48375, acc = 0.83665 || [ Valid | 040/200 ] loss = 0.88217, acc = 0.73477
[ Train | 041/200 ] loss = 0.45335, acc = 0.84696 || [ Valid | 041/200 ] loss = 1.08344, acc = 0.69732
[ Train | 042/200 ] loss = 0.45743, acc = 0.84003 || [ Valid | 042/200 ] loss = 0.84079, acc = 0.74841
[ Train | 043/200 ] loss = 0.43067, acc = 0.85107 || [ Valid | 043/200 ] loss = 0.90802, acc = 0.73563
[ Train | 044/200 ] loss = 0.43746, acc = 0.85471 || [ Valid | 044/200 ] loss = 0.80802, acc = 0.75442 -> best
[ Train | 045/200 ] loss = 0.43094, acc = 0.85071 || [ Valid | 045/200 ] loss = 0.89397, acc = 0.74456
[ Train | 046/200 ] loss = 0.41816, acc = 0.85780 || [ Valid | 046/200 ] loss = 0.80865, acc = 0.75478 -> best
[ Train | 047/200 ] loss = 0.40042, acc = 0.86313 || [ Valid | 047/200 ] loss = 0.81806, acc = 0.75653 -> best
[ Train | 048/200 ] loss = 0.39315, acc = 0.86418 || [ Valid | 048/200 ] loss = 0.83076, acc = 0.75367
[ Train | 049/200 ] loss = 0.38086, acc = 0.86857 || [ Valid | 049/200 ] loss = 0.89941, acc = 0.74288
[ Train | 050/200 ] loss = 0.37867, acc = 0.87026 || [ Valid | 050/200 ] loss = 0.93763, acc = 0.72726
[ Train | 051/200 ] loss = 0.38566, acc = 0.86513 || [ Valid | 051/200 ] loss = 0.79639, acc = 0.76328 -> best
[ Train | 052/200 ] loss = 0.34704, acc = 0.87773 || [ Valid | 052/200 ] loss = 0.67454, acc = 0.80036 -> best
[ Train | 053/200 ] loss = 0.35345, acc = 0.87894 || [ Valid | 053/200 ] loss = 0.94021, acc = 0.74071
[ Train | 054/200 ] loss = 0.35950, acc = 0.87503 || [ Valid | 054/200 ] loss = 1.18751, acc = 0.70035
[ Train | 055/200 ] loss = 0.34310, acc = 0.88325 || [ Valid | 055/200 ] loss = 0.84920, acc = 0.75243
[ Train | 056/200 ] loss = 0.33635, acc = 0.88513 || [ Valid | 056/200 ] loss = 0.85150, acc = 0.77097
[ Train | 057/200 ] loss = 0.32948, acc = 0.88317 || [ Valid | 057/200 ] loss = 0.87426, acc = 0.76161
[ Train | 058/200 ] loss = 0.30603, acc = 0.89278 || [ Valid | 058/200 ] loss = 0.79841, acc = 0.78461
[ Train | 059/200 ] loss = 0.29573, acc = 0.90018 || [ Valid | 059/200 ] loss = 0.89204, acc = 0.75287
[ Train | 060/200 ] loss = 0.30164, acc = 0.89570 || [ Valid | 060/200 ] loss = 0.79732, acc = 0.76998
[ Train | 061/200 ] loss = 0.30855, acc = 0.89037 || [ Valid | 061/200 ] loss = 0.83590, acc = 0.77940
[ Train | 062/200 ] loss = 0.29086, acc = 0.90214 || [ Valid | 062/200 ] loss = 0.77111, acc = 0.79131
[ Train | 063/200 ] loss = 0.28290, acc = 0.90300 || [ Valid | 063/200 ] loss = 0.87877, acc = 0.77165
[ Train | 064/200 ] loss = 0.28113, acc = 0.90093 || [ Valid | 064/200 ] loss = 0.87879, acc = 0.77233
[ Train | 065/200 ] loss = 0.29219, acc = 0.90084 || [ Valid | 065/200 ] loss = 0.97181, acc = 0.75132
[ Train | 066/200 ] loss = 0.27784, acc = 0.90402 || [ Valid | 066/200 ] loss = 0.82807, acc = 0.76421
[ Train | 067/200 ] loss = 0.26805, acc = 0.90608 || [ Valid | 067/200 ] loss = 0.79668, acc = 0.78144
[ Train | 068/200 ] loss = 0.26995, acc = 0.90860 || [ Valid | 068/200 ] loss = 0.85547, acc = 0.77036
[ Train | 069/200 ] loss = 0.24584, acc = 0.91337 || [ Valid | 069/200 ] loss = 0.82912, acc = 0.78126
[ Train | 070/200 ] loss = 0.25610, acc = 0.91346 || [ Valid | 070/200 ] loss = 0.84413, acc = 0.77809
[ Train | 071/200 ] loss = 0.24443, acc = 0.91599 || [ Valid | 071/200 ] loss = 0.81895, acc = 0.78888
[ Train | 072/200 ] loss = 0.23706, acc = 0.91748 || [ Valid | 072/200 ] loss = 0.92520, acc = 0.76812
[ Train | 073/200 ] loss = 0.23676, acc = 0.91761 || [ Valid | 073/200 ] loss = 0.93974, acc = 0.76068
training finish: 2022-03-21 08:36:24.169532
