training start: 2022-03-21 15:04:23.027107
[ Train | 001/100 ] loss = 2.88395, acc = 0.17752 || [ Valid | 001/100 ] loss = 2.09143, acc = 0.27038 -> best
[ Train | 002/100 ] loss = 2.08402, acc = 0.26700 || [ Valid | 002/100 ] loss = 2.02146, acc = 0.26604
[ Train | 003/100 ] loss = 1.94676, acc = 0.31970 || [ Valid | 003/100 ] loss = 1.92225, acc = 0.32440 -> best
[ Train | 004/100 ] loss = 1.83209, acc = 0.35566 || [ Valid | 004/100 ] loss = 1.69081, acc = 0.41419 -> best
[ Train | 005/100 ] loss = 1.77230, acc = 0.39381 || [ Valid | 005/100 ] loss = 1.63921, acc = 0.41696 -> best
[ Train | 006/100 ] loss = 1.67765, acc = 0.41395 || [ Valid | 006/100 ] loss = 1.56279, acc = 0.46011 -> best
[ Train | 007/100 ] loss = 1.59927, acc = 0.44751 || [ Valid | 007/100 ] loss = 1.49956, acc = 0.47888 -> best
[ Train | 008/100 ] loss = 1.52670, acc = 0.48004 || [ Valid | 008/100 ] loss = 1.51820, acc = 0.48318 -> best
[ Train | 009/100 ] loss = 1.47472, acc = 0.49719 || [ Valid | 009/100 ] loss = 1.40976, acc = 0.51426 -> best
[ Train | 010/100 ] loss = 1.39530, acc = 0.52423 || [ Valid | 010/100 ] loss = 1.36381, acc = 0.54340 -> best
[ Train | 011/100 ] loss = 1.31952, acc = 0.54887 || [ Valid | 011/100 ] loss = 1.23284, acc = 0.58404 -> best
[ Train | 012/100 ] loss = 1.27843, acc = 0.56303 || [ Valid | 012/100 ] loss = 1.19060, acc = 0.59792 -> best
[ Train | 013/100 ] loss = 1.21656, acc = 0.58801 || [ Valid | 013/100 ] loss = 1.14553, acc = 0.61107 -> best
[ Train | 014/100 ] loss = 1.17161, acc = 0.60504 || [ Valid | 014/100 ] loss = 1.14585, acc = 0.61074
[ Train | 015/100 ] loss = 1.12801, acc = 0.61312 || [ Valid | 015/100 ] loss = 1.08815, acc = 0.62727 -> best
[ Train | 016/100 ] loss = 1.09770, acc = 0.62955 || [ Valid | 016/100 ] loss = 1.13030, acc = 0.62186
[ Train | 017/100 ] loss = 1.05964, acc = 0.64034 || [ Valid | 017/100 ] loss = 1.10693, acc = 0.63066 -> best
[ Train | 018/100 ] loss = 1.02026, acc = 0.65634 || [ Valid | 018/100 ] loss = 1.06855, acc = 0.64513 -> best
[ Train | 019/100 ] loss = 1.00518, acc = 0.65856 || [ Valid | 019/100 ] loss = 1.05201, acc = 0.65071 -> best
[ Train | 020/100 ] loss = 0.96304, acc = 0.67356 || [ Valid | 020/100 ] loss = 0.92724, acc = 0.68473 -> best
[ Train | 021/100 ] loss = 0.95520, acc = 0.67945 || [ Valid | 021/100 ] loss = 0.97076, acc = 0.67030
[ Train | 022/100 ] loss = 0.91488, acc = 0.68747 || [ Valid | 022/100 ] loss = 0.88601, acc = 0.70007 -> best
[ Train | 023/100 ] loss = 0.89861, acc = 0.69402 || [ Valid | 023/100 ] loss = 0.87729, acc = 0.70722 -> best
[ Train | 024/100 ] loss = 0.86141, acc = 0.70674 || [ Valid | 024/100 ] loss = 0.84596, acc = 0.71681 -> best
[ Train | 025/100 ] loss = 0.83063, acc = 0.72125 || [ Valid | 025/100 ] loss = 0.82274, acc = 0.72086 -> best
[ Train | 026/100 ] loss = 0.81398, acc = 0.72427 || [ Valid | 026/100 ] loss = 0.93160, acc = 0.70131
[ Train | 027/100 ] loss = 0.79343, acc = 0.73356 || [ Valid | 027/100 ] loss = 0.87565, acc = 0.71168
[ Train | 028/100 ] loss = 0.78400, acc = 0.73307 || [ Valid | 028/100 ] loss = 0.83423, acc = 0.72619 -> best
[ Train | 029/100 ] loss = 0.75978, acc = 0.73883 || [ Valid | 029/100 ] loss = 0.82709, acc = 0.73194 -> best
[ Train | 030/100 ] loss = 0.74615, acc = 0.74485 || [ Valid | 030/100 ] loss = 0.82300, acc = 0.72813
[ Train | 031/100 ] loss = 0.71271, acc = 0.75811 || [ Valid | 031/100 ] loss = 0.74469, acc = 0.75475 -> best
[ Train | 032/100 ] loss = 0.70815, acc = 0.76126 || [ Valid | 032/100 ] loss = 0.82022, acc = 0.73797
[ Train | 033/100 ] loss = 0.69672, acc = 0.76469 || [ Valid | 033/100 ] loss = 0.79803, acc = 0.73268
[ Train | 034/100 ] loss = 0.66996, acc = 0.77121 || [ Valid | 034/100 ] loss = 0.78681, acc = 0.74359
[ Train | 035/100 ] loss = 0.66235, acc = 0.77994 || [ Valid | 035/100 ] loss = 0.77514, acc = 0.73900
[ Train | 036/100 ] loss = 0.62413, acc = 0.79036 || [ Valid | 036/100 ] loss = 0.76756, acc = 0.75186
[ Train | 037/100 ] loss = 0.64283, acc = 0.78487 || [ Valid | 037/100 ] loss = 0.72061, acc = 0.76703 -> best
[ Train | 038/100 ] loss = 0.60588, acc = 0.79741 || [ Valid | 038/100 ] loss = 0.76789, acc = 0.75595
