training start: 2022-03-20 12:47:53.967479[ Train | 001/200 ] loss = 2.23768, acc = 0.28272 || [ Valid | 001/200 ] loss = 1.90705, acc = 0.31055 -> best
[ Train | 002/200 ] loss = 1.80039, acc = 0.37133 || [ Valid | 002/200 ] loss = 1.70331, acc = 0.42123 -> best
[ Train | 003/200 ] loss = 1.65594, acc = 0.42419 || [ Valid | 003/200 ] loss = 1.88192, acc = 0.37051
[ Train | 004/200 ] loss = 1.53131, acc = 0.46824 || [ Valid | 004/200 ] loss = 1.70841, acc = 0.44906 -> best
[ Train | 005/200 ] loss = 1.41469, acc = 0.51493 || [ Valid | 005/200 ] loss = 1.54628, acc = 0.47640 -> best
[ Train | 006/200 ] loss = 1.34210, acc = 0.53720 || [ Valid | 006/200 ] loss = 1.53796, acc = 0.49570 -> best
[ Train | 007/200 ] loss = 1.26767, acc = 0.56881 || [ Valid | 007/200 ] loss = 1.39536, acc = 0.53803 -> best
[ Train | 008/200 ] loss = 1.18467, acc = 0.59173 || [ Valid | 008/200 ] loss = 1.42988, acc = 0.52774
[ Train | 009/200 ] loss = 1.13603, acc = 0.61213 || [ Valid | 009/200 ] loss = 1.29776, acc = 0.56911 -> best
[ Train | 010/200 ] loss = 1.09591, acc = 0.62608 || [ Valid | 010/200 ] loss = 1.14868, acc = 0.62317 -> best
[ Train | 011/200 ] loss = 1.05003, acc = 0.64571 || [ Valid | 011/200 ] loss = 1.37384, acc = 0.54045
[ Train | 012/200 ] loss = 1.00942, acc = 0.65274 || [ Valid | 012/200 ] loss = 1.19203, acc = 0.61821
[ Train | 013/200 ] loss = 0.97316, acc = 0.66938 || [ Valid | 013/200 ] loss = 1.09501, acc = 0.64213 -> best
[ Train | 014/200 ] loss = 0.94123, acc = 0.67660 || [ Valid | 014/200 ] loss = 1.02100, acc = 0.66335 -> best
[ Train | 015/200 ] loss = 0.91403, acc = 0.68520 || [ Valid | 015/200 ] loss = 1.24239, acc = 0.59197
[ Train | 016/200 ] loss = 0.88041, acc = 0.69678 || [ Valid | 016/200 ] loss = 1.15320, acc = 0.63153
[ Train | 017/200 ] loss = 0.86036, acc = 0.70830 || [ Valid | 017/200 ] loss = 0.99121, acc = 0.68330 -> best
[ Train | 018/200 ] loss = 0.82597, acc = 0.71542 || [ Valid | 018/200 ] loss = 0.98625, acc = 0.67319
[ Train | 019/200 ] loss = 0.79885, acc = 0.72506 || [ Valid | 019/200 ] loss = 1.08968, acc = 0.64870
[ Train | 020/200 ] loss = 0.79567, acc = 0.72936 || [ Valid | 020/200 ] loss = 1.00869, acc = 0.67530
[ Train | 021/200 ] loss = 0.76385, acc = 0.73750 || [ Valid | 021/200 ] loss = 1.02893, acc = 0.67915
[ Train | 022/200 ] loss = 0.71615, acc = 0.75368 || [ Valid | 022/200 ] loss = 1.11806, acc = 0.65578
[ Train | 023/200 ] loss = 0.70825, acc = 0.75724 || [ Valid | 023/200 ] loss = 1.03247, acc = 0.67512
[ Train | 024/200 ] loss = 0.70403, acc = 0.76032 || [ Valid | 024/200 ] loss = 0.89367, acc = 0.71405 -> best
[ Train | 025/200 ] loss = 0.67961, acc = 0.76855 || [ Valid | 025/200 ] loss = 0.85439, acc = 0.73116 -> best
[ Train | 026/200 ] loss = 0.64887, acc = 0.77490 || [ Valid | 026/200 ] loss = 0.84746, acc = 0.73191 -> best
[ Train | 027/200 ] loss = 0.64966, acc = 0.77791 || [ Valid | 027/200 ] loss = 1.01661, acc = 0.68752
[ Train | 028/200 ] loss = 0.63783, acc = 0.78234 || [ Valid | 028/200 ] loss = 0.89397, acc = 0.71170
[ Train | 029/200 ] loss = 0.60784, acc = 0.79643 || [ Valid | 029/200 ] loss = 0.84777, acc = 0.73414 -> best
[ Train | 030/200 ] loss = 0.59001, acc = 0.79819 || [ Valid | 030/200 ] loss = 0.89432, acc = 0.73073
[ Train | 031/200 ] loss = 0.56711, acc = 0.80373 || [ Valid | 031/200 ] loss = 0.92376, acc = 0.72540
[ Train | 032/200 ] loss = 0.57978, acc = 0.80007 || [ Valid | 032/200 ] loss = 0.75688, acc = 0.75721 -> best
[ Train | 033/200 ] loss = 0.54537, acc = 0.81357 || [ Valid | 033/200 ] loss = 1.00380, acc = 0.70338
[ Train | 034/200 ] loss = 0.55790, acc = 0.80869 || [ Valid | 034/200 ] loss = 0.95515, acc = 0.71753
[ Train | 035/200 ] loss = 0.51571, acc = 0.82263 || [ Valid | 035/200 ] loss = 0.90050, acc = 0.72738
[ Train | 036/200 ] loss = 0.51582, acc = 0.82458 || [ Valid | 036/200 ] loss = 1.01280, acc = 0.70097
[ Train | 037/200 ] loss = 0.50904, acc = 0.82507 || [ Valid | 037/200 ] loss = 0.99897, acc = 0.70444
[ Train | 038/200 ] loss = 0.48038, acc = 0.83414 || [ Valid | 038/200 ] loss = 0.82035, acc = 0.74909
[ Train | 039/200 ] loss = 0.47075, acc = 0.83881 || [ Valid | 039/200 ] loss = 0.81436, acc = 0.74295
[ Train | 040/200 ] loss = 0.46895, acc = 0.83965 || [ Valid | 040/200 ] loss = 0.83011, acc = 0.75379
[ Train | 041/200 ] loss = 0.45016, acc = 0.84536 || [ Valid | 041/200 ] loss = 0.74554, acc = 0.76942 -> best
[ Train | 042/200 ] loss = 0.44165, acc = 0.84750 || [ Valid | 042/200 ] loss = 0.95569, acc = 0.73067
[ Train | 043/200 ] loss = 0.43727, acc = 0.84790 || [ Valid | 043/200 ] loss = 0.77284, acc = 0.76031
[ Train | 044/200 ] loss = 0.42344, acc = 0.85491 || [ Valid | 044/200 ] loss = 0.81879, acc = 0.75869
[ Train | 045/200 ] loss = 0.42728, acc = 0.85144 || [ Valid | 045/200 ] loss = 0.89025, acc = 0.73439
[ Train | 046/200 ] loss = 0.38977, acc = 0.86407 || [ Valid | 046/200 ] loss = 0.84891, acc = 0.75690
[ Train | 047/200 ] loss = 0.40503, acc = 0.86371 || [ Valid | 047/200 ] loss = 0.87183, acc = 0.74896
[ Train | 048/200 ] loss = 0.37710, acc = 0.87025 || [ Valid | 048/200 ] loss = 0.79438, acc = 0.77165 -> best
[ Train | 049/200 ] loss = 0.37976, acc = 0.86436 || [ Valid | 049/200 ] loss = 0.96349, acc = 0.72919
