training start: 2022-03-21 15:24:45.035416
[ Train | 001/100 ] loss = 2.87503, acc = 0.17682 || [ Valid | 001/100 ] loss = 2.37856, acc = 0.24223 -> best
[ Train | 002/100 ] loss = 2.09763, acc = 0.25840 || [ Valid | 002/100 ] loss = 1.95885, acc = 0.30237 -> best
[ Train | 003/100 ] loss = 1.94058, acc = 0.31259 || [ Valid | 003/100 ] loss = 1.73876, acc = 0.39011 -> best
[ Train | 004/100 ] loss = 1.83348, acc = 0.35709 || [ Valid | 004/100 ] loss = 1.62435, acc = 0.42669 -> best
[ Train | 005/100 ] loss = 1.73997, acc = 0.39005 || [ Valid | 005/100 ] loss = 1.56165, acc = 0.45217 -> best
[ Train | 006/100 ] loss = 1.64514, acc = 0.43146 || [ Valid | 006/100 ] loss = 1.51470, acc = 0.47325 -> best
[ Train | 007/100 ] loss = 1.59190, acc = 0.45011 || [ Valid | 007/100 ] loss = 1.44327, acc = 0.50257 -> best
[ Train | 008/100 ] loss = 1.51608, acc = 0.47992 || [ Valid | 008/100 ] loss = 1.34989, acc = 0.53965 -> best
[ Train | 009/100 ] loss = 1.43772, acc = 0.50920 || [ Valid | 009/100 ] loss = 1.31492, acc = 0.54281 -> best
[ Train | 010/100 ] loss = 1.38118, acc = 0.53056 || [ Valid | 010/100 ] loss = 1.23569, acc = 0.58411 -> best
[ Train | 011/100 ] loss = 1.31710, acc = 0.55254 || [ Valid | 011/100 ] loss = 1.25503, acc = 0.57815
[ Train | 012/100 ] loss = 1.29092, acc = 0.56332 || [ Valid | 012/100 ] loss = 1.16580, acc = 0.60362 -> best
[ Train | 013/100 ] loss = 1.22740, acc = 0.58362 || [ Valid | 013/100 ] loss = 1.12612, acc = 0.62633 -> best
[ Train | 014/100 ] loss = 1.19369, acc = 0.59370 || [ Valid | 014/100 ] loss = 1.18154, acc = 0.60153
[ Train | 015/100 ] loss = 1.16452, acc = 0.60559 || [ Valid | 015/100 ] loss = 1.15062, acc = 0.61814
[ Train | 016/100 ] loss = 1.12159, acc = 0.62708 || [ Valid | 016/100 ] loss = 1.07685, acc = 0.64430 -> best
[ Train | 017/100 ] loss = 1.08268, acc = 0.63271 || [ Valid | 017/100 ] loss = 1.02879, acc = 0.66279 -> best
[ Train | 018/100 ] loss = 1.05902, acc = 0.63582 || [ Valid | 018/100 ] loss = 1.06560, acc = 0.65367
[ Train | 019/100 ] loss = 1.01376, acc = 0.65861 || [ Valid | 019/100 ] loss = 0.98637, acc = 0.67152 -> best
[ Train | 020/100 ] loss = 0.98125, acc = 0.66864 || [ Valid | 020/100 ] loss = 1.01268, acc = 0.65907
[ Train | 021/100 ] loss = 0.95967, acc = 0.68128 || [ Valid | 021/100 ] loss = 0.92983, acc = 0.68814 -> best
[ Train | 022/100 ] loss = 0.90563, acc = 0.70241 || [ Valid | 022/100 ] loss = 1.09135, acc = 0.64697
