id,tested_positive
0,8.884566
1,8.602966
2,4.9198074
3,9.281526
4,16.651041
5,14.408732
6,10.190333
7,14.651326
8,13.313063
9,10.952647
10,7.328328
11,9.972801
12,9.457635
13,17.179745
14,12.338984
15,6.5817184
16,9.094779
17,5.4548388
18,7.953151
19,9.911971
20,20.233341
21,5.812557
22,9.548386
23,10.545537
24,14.007595
25,18.164633
26,22.558586
27,8.899025
28,6.47139
29,15.391604
30,14.284892
31,4.121398
32,11.71669
33,9.168725
34,8.852831
35,6.1550665
36,13.65818
37,16.719194
38,9.459665
39,13.885181
40,14.750342
41,25.142828
42,5.613259
43,10.862577
44,24.488256
45,22.306719
46,17.189377
47,5.4443526
48,11.068164
49,5.3268394
50,4.2279763
51,7.8945985
52,14.249706
53,16.781376
54,16.798641
55,19.399862
56,17.153673
57,10.770352
58,25.847878
59,8.577458
60,18.403265
61,19.373156
62,11.575484
63,17.29883
64,20.859774
65,13.65055
66,10.650224
67,6.2161446
68,7.719468
69,16.222815
70,22.225945
71,19.310307
72,5.6718545
73,11.587863
74,18.030993
75,14.119249
76,16.377966
77,12.881383
78,10.201212
79,16.328775
80,22.629921
81,5.7807345
82,23.3424
83,17.216974
84,23.768307
85,9.988678
86,9.127201
87,16.120266
88,26.753487
89,5.330976
90,15.260383
91,14.716366
92,19.264185
93,21.057714
94,20.743048
95,10.494131
96,30.305649
97,8.323791
98,20.343233
99,19.055555
100,19.351778
101,17.935413
102,8.802237
103,16.803473
104,19.36432
105,12.572674
106,18.326826
107,18.913918
108,6.8328433
109,20.668518
110,22.468008
111,18.695827
112,22.855091
113,21.687695
114,11.006628
115,6.340356
116,19.864353
117,11.648672
118,22.889126
119,17.92285
120,21.304913
121,7.4480925
122,11.841654
123,11.695461
124,19.328661
125,9.388127
126,12.209652
127,14.839385
128,15.335304
129,9.435829
130,15.360361
131,5.8946123
132,8.763826
133,6.01689
134,12.37268
135,19.192675
136,18.074451
137,21.336475
138,5.758959
139,11.969581
140,11.307854
141,9.742477
142,11.157007
143,9.834078
144,23.223627
145,9.408533
146,11.68328
147,16.814709
148,23.129211
149,15.6978655
150,12.24656
151,16.932297
152,10.986421
153,9.753091
154,21.480442
155,14.143006
156,13.119031
157,27.00133
158,21.763174
159,17.439415
160,12.581199
161,17.079372
162,10.02516
163,19.66246
164,9.501371
165,21.96832
166,11.30219
167,16.183554
168,10.831452
169,6.464251
170,12.775427
171,13.417057
172,11.423128
173,12.442408
174,23.060938
175,5.891818
176,5.7986073
177,22.02455
178,13.259616
179,12.06657
180,20.152605
181,18.34485
182,9.131248
183,11.702924
184,12.217409
185,11.952545
186,13.888052
187,21.136312
188,7.5363955
189,10.8645115
190,6.6964083
191,5.7939434
192,19.36066
193,9.72566
194,9.641816
195,18.613283
196,18.93484
197,16.248959
198,6.555629
199,20.529118
200,7.2854514
201,12.705983
202,22.016832
203,20.217102
204,18.65095
205,9.400412
206,10.7317705
207,7.925012
208,11.62451
209,20.097696
210,10.213042
211,13.753999
212,19.22349
213,5.6077805
214,15.58572
215,17.32934
216,16.004652
217,10.895178
218,19.73191
219,9.478159
220,6.843862
221,9.76495
222,13.968231
223,20.526333
224,16.03799
225,9.697677
226,5.324696
227,14.834786
228,16.421705
229,11.923651
230,14.525303
231,6.1186957
232,11.221831
233,19.599499
234,14.816327
235,6.562438
236,10.623169
237,17.418884
238,10.933858
239,16.326448
240,19.908978
241,15.329394
242,23.871706
243,17.029547
244,10.312912
245,6.202251
246,19.377449
247,9.967056
248,21.451223
249,18.307673
250,18.919342
251,14.062174
252,17.056639
253,17.9515
254,14.430077
255,10.688839
256,20.735813
257,12.119333
258,14.218712
259,17.280464
260,15.8935585
261,22.07372
262,11.507507
263,10.83927
264,16.371168
265,13.060696
266,14.96278
267,9.237222
268,11.751278
269,17.226898
270,11.438285
271,12.0621
272,18.645006
273,9.5293665
274,16.846376
275,5.7768703
276,15.73863
277,8.934623
278,15.579601
279,9.817806
280,17.649803
281,12.445692
282,12.885201
283,12.564303
284,7.244769
285,14.942931
286,7.014586
287,16.78589
288,10.712729
289,14.628466
290,17.187094
291,10.256504
292,15.979057
293,15.374154
294,15.556225
295,16.968594
296,17.647242
297,13.087493
298,9.449842
299,12.57551
300,17.4424
301,14.476487
302,18.984373
303,16.033453
304,15.84873
305,18.05443
306,17.891466
307,14.978793
308,14.654746
309,18.502935
310,18.295849
311,18.325008
312,15.675731
313,11.513563
314,14.452414
315,10.166637
316,11.638688
317,20.666151
318,13.420523
319,17.537558
320,18.627697
321,8.684055
322,15.529112
323,11.040139
324,10.536227
325,17.575592
326,6.64873
327,19.238138
328,8.810321
329,12.982483
330,15.531297
331,15.315251
332,12.097477
333,15.466232
334,12.565941
335,10.701649
336,12.322863
337,15.556405
338,10.185228
339,6.542486
340,16.329132
341,15.390451
342,15.903855
343,13.852337
344,6.267901
345,17.579758
346,12.413572
347,17.26373
348,20.678068
349,7.3693466
350,13.008368
351,12.146785
352,13.433328
353,6.3282804
354,14.0392685
355,16.974194
356,11.428208
357,17.029009
358,9.012677
359,5.157798
360,10.940111
361,11.500175
362,14.951405
363,13.778573
364,11.777552
365,14.121376
366,10.540777
367,17.389105
368,5.999499
369,12.682262
370,20.322838
371,11.754625
372,13.97049
373,18.554714
374,15.369324
375,16.558697
376,11.910605
377,16.503117
378,15.301453
379,5.296565
380,24.575129
381,7.617888
382,16.946894
383,14.118489
384,15.211565
385,19.464117
386,13.887536
387,12.379513
388,15.462719
389,18.990576
390,15.682255
391,17.32695
392,12.665041
393,11.1713
394,9.946539
395,15.2787075
396,14.817421
397,6.789034
398,12.560191
399,6.472887
400,13.234415
401,10.954702
402,4.6263986
403,6.3636255
404,11.335802
405,14.618996
406,11.746154
407,6.8774614
408,5.552681
409,7.1233296
410,6.989601
411,9.762436
412,7.497277
413,12.977031
414,8.898654
415,13.568638
416,6.6865764
417,11.982749
418,7.4915166
419,7.052075
420,11.901747
421,7.056785
422,14.971803
423,7.989467
424,15.097359
425,6.830736
426,15.222499
427,6.8031178
428,7.5684514
429,13.525978
430,15.264139
431,17.581839
432,6.8864875
433,4.5323052
434,10.841267
435,15.450451
436,11.099992
437,5.594772
438,12.644462
439,6.8525515
440,15.800919
441,10.918369
442,11.32383
443,14.420189
444,7.5689015
445,18.5821
446,12.704563
447,16.879148
448,11.96347
449,12.152751
450,8.239495
451,9.506649
452,13.196719
453,12.557717
454,8.569266
455,14.3348675
456,15.308999
457,11.284638
458,16.857412
459,7.2640324
460,17.777088
461,8.136061
462,6.968445
463,6.9114203
464,8.074345
465,6.295166
466,11.613302
467,16.624332
468,7.839103
469,11.285548
470,9.654988
471,13.331106
472,12.086946
473,8.116457
474,10.60961
475,15.23959
476,7.0693793
477,6.2402987
478,8.503086
479,9.620638
480,17.86901
481,16.67547
482,9.688612
483,12.787735
484,10.383976
485,17.742022
486,11.864009
487,10.83309
488,14.099732
489,15.53315
490,9.686747
491,7.4548287
492,11.813149
493,10.633261
494,17.412214
495,4.598082
496,17.710873
497,16.353045
498,8.4698105
499,12.359877
500,5.8902845
501,7.934521
502,17.588503
503,16.744146
504,13.246366
505,10.69618
506,15.082855
507,6.69967
508,10.985161
509,5.470942
510,9.86443
511,21.434881
512,11.163719
513,9.191409
514,6.848451
515,6.4775586
516,20.142313
517,6.044085
518,13.368116
519,18.42285
520,9.24919
521,11.198126
522,5.596417
523,7.356801
524,8.652559
525,21.3942
526,11.020461
527,16.596586
528,7.6962237
529,13.965623
530,12.271016
531,6.959464
532,5.045393
533,17.81889
534,8.373897
535,16.890121
536,10.153697
537,8.612173
538,9.321597
539,15.914034
540,10.592953
541,18.225052
542,16.879414
543,11.157303
544,15.103828
545,9.561067
546,9.817709
547,10.854374
548,8.291772
549,12.124404
550,9.121957
551,11.146943
552,9.98418
553,9.264967
554,3.9892724
555,14.734662
556,11.410038
557,8.706034
558,12.275888
559,10.895217
560,19.977377
561,11.331289
562,7.192983
563,12.788297
564,5.715504
565,7.8474555
566,9.438158
567,16.57387
568,7.5732303
569,9.331526
570,7.6870093
571,11.834448
572,18.420286
573,11.227548
574,18.383114
575,9.878913
576,16.726906
577,5.780215
578,7.1753507
579,7.751495
580,8.7417145
581,6.089557
582,7.3110843
583,8.106631
584,8.473757
585,7.346806
586,9.80275
587,4.733934
588,13.5669775
589,8.904303
590,8.525878
591,15.466669
592,6.610969
593,7.847614
594,7.4445314
595,7.8128037
596,8.881495
597,9.683986
598,6.84537
599,9.95574
600,10.145553
601,15.686703
602,8.31123
603,5.5560107
604,9.852734
605,16.614378
606,7.780515
607,10.96977
608,9.9142
609,14.857757
610,15.632277
611,8.9905615
612,14.1097355
613,4.7387023
614,14.432234
615,8.3187065
616,8.507353
617,13.835445
618,7.8066506
619,16.68382
620,8.444757
621,8.805844
622,12.784441
623,9.251231
624,9.58054
625,6.942221
626,17.011765
627,20.209652
628,6.089794
629,10.241733
630,6.4883285
631,15.920199
632,10.231835
633,16.983734
634,8.375418
635,11.36745
636,13.043446
637,18.30236
638,8.836109
639,19.051453
640,8.1507
641,21.863325
642,8.776326
643,7.9671884
644,8.018972
645,10.350398
646,6.712792
647,14.489048
648,9.63685
649,6.307861
650,14.943612
651,6.8838286
652,9.864243
653,21.284634
654,16.635294
655,10.176639
656,14.270413
657,24.83319
658,14.795589
659,17.468664
660,14.327318
661,7.3935604
662,28.314484
663,8.876095
664,24.476782
665,15.726512
666,10.6833515
667,14.840411
668,18.835632
669,9.50321
670,12.793327
671,11.989764
672,11.662066
673,12.716873
674,8.746546
675,22.049444
676,16.779808
677,16.310696
678,8.849826
679,14.868354
680,7.540249
681,9.744097
682,28.412607
683,29.173132
684,7.9156337
685,18.155827
686,12.721323
687,13.391399
688,6.1165032
689,6.098654
690,13.966014
691,9.741928
692,22.159925
693,11.477827
694,8.10645
695,22.04801
696,7.0124955
697,19.793684
698,16.599611
699,22.42419
700,11.1126995
701,13.8675785
702,12.504262
703,5.7735868
704,11.435129
705,16.491304
706,9.780763
707,11.261525
708,7.6551995
709,24.749956
710,18.61946
711,10.923808
712,5.8245034
713,12.585702
714,16.089533
715,7.5886593
716,14.271984
717,18.29938
718,7.6092134
719,11.057885
720,9.825025
721,15.698567
722,10.619882
723,12.051557
724,16.47764
725,16.450191
726,9.696068
727,15.219119
728,12.524799
729,5.794489
730,23.654251
731,6.6187086
732,7.2313113
733,24.361502
734,9.406215
735,12.761215
736,14.57058
737,14.581281
738,8.506938
739,6.566181
740,6.941895
741,14.712289
742,12.368888
743,6.977302
744,10.747661
745,17.812551
746,14.643076
747,16.4672
748,7.4906807
749,9.722358
750,8.924804
751,10.3447
752,11.140987
753,5.029363
754,11.463789
755,15.169668
756,13.236781
757,6.7981215
758,9.506994
759,11.490721
760,18.55701
761,9.149029
762,9.530953
763,15.115807
764,10.896782
765,5.5021243
766,13.6208725
767,12.849079
768,13.44651
769,6.0010896
770,21.653397
771,12.941141
772,15.93371
773,17.005102
774,9.769297
775,12.075996
776,8.52797
777,21.125433
778,9.401232
779,14.583397
780,20.330166
781,9.016422
782,24.02503
783,12.093577
784,15.143162
785,17.16669
786,14.280645
787,10.842783
788,8.949982
789,7.8744073
790,11.259356
791,9.679522
792,14.424206
793,6.4246416
794,10.443926
795,7.310914
796,15.142577
797,12.617557
798,18.16602
799,11.032432
800,12.167187
801,15.117261
802,9.878957
803,9.352412
804,12.9730625
805,7.591723
806,21.493917
807,16.815535
808,13.676104
809,20.274237
810,20.100206
811,17.618492
812,21.85475
813,14.077879
814,11.197848
815,21.184656
816,18.046898
817,18.189138
818,18.504766
819,9.503926
820,18.694317
821,5.4597535
822,15.803103
823,23.877161
824,16.382229
825,9.5399
826,8.184869
827,10.085145
828,9.478278
829,21.397942
830,7.5445285
831,14.239867
832,27.810175
833,11.724221
834,19.4126
835,30.658346
836,11.056875
837,24.387453
838,22.737728
839,12.241286
840,28.687084
841,21.62365
842,13.6530285
843,11.165438
844,28.941833
845,14.153218
846,11.6958275
847,18.3926
848,7.789745
849,10.481493
850,19.199617
851,13.158553
852,23.219223
853,14.29212
854,11.902393
855,8.255667
856,18.0158
857,10.770477
858,10.734594
859,19.856888
860,25.534737
861,27.59255
862,18.972618
863,24.45662
864,23.899885
865,24.080948
866,16.733541
867,24.980139
868,27.211567
869,22.024532
870,9.673686
871,25.77614
872,30.08953
873,29.582342
874,8.386497
875,28.624592
876,15.638811
877,28.340385
878,11.902479
879,21.016397
880,22.248356
881,23.163464
882,10.51091
883,14.77988
884,29.943888
885,17.506342
886,20.100016
887,24.492954
888,11.336647
889,13.415033
890,10.927693
891,20.742226
892,18.288464
893,12.704143
894,33.0284
895,9.190205
896,20.430368
897,27.675228
898,22.733976
899,32.048088
900,24.775904
901,8.05044
902,25.95142
903,18.501085
904,23.068748
905,9.540886
906,30.937607
907,23.995302
908,12.10768
909,10.734483
910,30.48466
911,30.071774
912,31.465172
913,10.787694
914,23.031631
915,34.88831
916,16.087954
917,14.270305
918,26.252768
919,22.512041
920,17.925076
921,17.647383
922,18.215342
923,36.63197
924,18.398258
925,9.546992
926,26.157679
927,25.703665
928,29.182308
929,14.201043
930,19.507309
931,36.834797
932,12.748346
933,29.800552
934,28.160208
935,12.96082
936,10.774602
937,27.92734
938,19.695833
939,26.526144
940,24.767403
941,31.167389
942,22.934214
943,32.15847
944,17.786821
945,25.749466
946,25.827797
947,33.32955
948,26.783197
949,9.522743
950,30.147987
951,35.459393
952,21.810278
953,14.80742
954,22.739267
955,27.700195
956,30.549822
957,17.049168
958,19.909868
959,25.117949
960,9.040639
961,30.65914
962,28.8177
963,24.844732
964,30.607298
965,23.564665
966,12.18265
967,28.603718
968,30.322803
969,25.945543
970,25.984396
971,21.562096
972,26.2017
973,18.182549
974,20.577051
975,30.969902
976,9.936108
977,31.450619
978,19.657293
979,32.03142
980,13.5440235
981,20.048677
982,31.361876
983,22.997631
984,33.236855
985,12.8843
986,32.395638
987,23.38665
988,21.335903
989,32.154427
990,29.638634
991,21.813526
992,29.076439
993,27.043768
994,14.85215
995,31.061106
996,34.5726
997,31.38748
998,17.203146
999,29.369537
1000,8.495619
1001,13.670987
1002,28.690758
1003,30.195698
1004,9.482364
1005,27.88645
1006,26.82769
1007,17.531515
1008,18.72721
1009,22.982986
1010,23.014708
1011,27.707796
1012,20.716425
1013,32.255547
1014,30.696869
1015,28.323956
1016,27.633759
1017,28.45737
1018,19.758793
1019,22.574734
1020,18.824795
1021,30.255371
1022,35.687183
1023,26.641445
1024,31.927889
1025,31.355934
1026,20.592714
1027,18.19808
1028,29.082294
1029,32.562824
1030,12.967667
1031,27.9684
1032,14.558814
1033,17.962498
1034,26.376366
1035,31.029524
1036,31.256338
1037,13.07013
1038,15.36849
1039,14.257879
1040,31.291084
1041,17.59006
1042,32.080296
1043,33.86166
1044,18.614101
1045,32.038296
1046,21.110699
1047,19.734734
1048,30.784685
1049,26.278963
1050,27.966139
1051,30.6793
1052,18.301853
1053,29.725296
1054,31.489983
1055,33.522587
1056,23.43
1057,27.190008
1058,25.253408
1059,30.677414
1060,33.677364
1061,26.257399
1062,32.41239
1063,29.585306
1064,30.99906
1065,21.858828
1066,29.892687
1067,23.778418
1068,25.06944
1069,29.390976
1070,26.848185
1071,28.943161
1072,32.837288
1073,31.887526
1074,31.366903
1075,31.99008
1076,31.936556
1077,33.31188
